-ACB NAME     TTR    ACB-TYPE   DATE     TIME        SIZE     REL   PSBW      CSA       SAS
 ALAUNLOD    003104  PSB       04.312  07:19:10.06  00003840  7.1  00008192  00000384  00003456
 ALAZBMP     003107  PSB       04.312  07:19:10.06  00004928  7.1  00013120  00000576  00004352
 ALOPRJEA    00310A  PSB       04.312  07:19:10.06  00010624  7.1  00020992  00001152  00009472
 ALOP0010    00310D  PSB       04.312  07:19:10.06  00010624  7.1  00020992  00001152  00009472
 ALQMPEND    003203  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPPCN    003206  PSB       04.312  07:19:10.06  00007360  7.1  00006656  00001152  00006208
 ALQMPQQ4    003209  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPQ00    003301  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPQ01    003304  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPQ02    003401  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPQ03    003404  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPQ04    003501  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPQ05    003504  PSB       04.312  07:19:10.06  00021312  7.1  00030080  00002752  00018560
 ALQMPQ06    003601  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALQMPQ07    003604  PSB       04.312  07:19:10.06  00019328  7.1  00029888  00002560  00016768
 ALTCDLT0    003607  PSB       04.312  07:19:10.06  00003136  7.1  00004992  00000448  00002688
 ALTPRINT    00360A  PSB       04.312  07:19:10.06  00004928  7.1  00008192  00000384  00004544
 ANBCON1P    003701  PSB       04.312  07:19:10.06  00005696  7.1  00002624  00000832  00004864
 ANBCON5P    003704  PSB       04.312  07:19:10.06  00005824  7.1  00003328  00000768  00005056
 ANB87SCP    003707  PSB       04.312  07:19:10.06  00004544  7.1  00015168  00000576  00003968
 ANB87S1P    00370A  PSB       04.312  07:19:10.06  00004544  7.1  00002624  00000576  00003968
 ANB88SCP    00370D  PSB       04.312  07:19:10.06  00004544  7.1  00002624  00000576  00003968
 ANB90S1P    003710  PSB       04.312  07:19:10.06  00005696  7.1  00002624  00000768  00004928
 APRRFU0     003713  PSB       04.312  07:19:10.06  00006464  7.1  00002304  00001024  00005440
 APSBCPSA    00380F  PSB       04.312  07:19:10.06  00008704  7.1  00004096  00000832  00007872
 APSBMP0     003901  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSBMP0A    003A01  PSB       04.312  07:19:10.06  00041280  7.1  00004928  00004224  00037056
 APSBMP1     003B01  PSB       04.312  07:19:10.06  00036864  7.1  00010368  00004096  00032768
 APSBMP1A    003C01  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSBMP2A    003D01  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSBMP3     003E01  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSBMP3A    003F01  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSBMP4     003F04  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSBMP4A    004004  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSBMP5     004101  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSBMP5A    004201  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSBMP6     004204  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSBMP6A    004304  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSBMP7A    004307  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSBMP8A    004403  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSBMP9A    004406  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSB001P    004501  PSB       04.312  07:19:10.06  00038208  7.1  00010368  00003840  00034368
 APSB002P    004601  PSB       04.312  07:19:10.06  00041344  7.1  00004864  00003840  00037504
1 16:59:37  04.313 - ACB DIRECTORY LIST FOR LIBRARY - K9210P.IMSA.ACBLIB
-ACB NAME     TTR    ACB-TYPE   DATE     TIME        SIZE     REL   PSBW      CSA       SAS
0APSB003P    004701  PSB       04.312  07:19:10.06  00041344  7.1  00004864  00003840  00037504
 APSB004P    004801  PSB       04.312  07:19:10.06  00036672  7.1  00010368  00003648  00033024
 APSB005P    004901  PSB       04.312  07:19:10.06  00038208  7.1  00010368  00003840  00034368
 APSDG00     004A01  PSB       04.312  07:19:10.06  00040128  7.1  00010368  00004224  00035904
 APSDPM01    004B01  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSDPM02    004B04  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSDPM03    004C01  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSDPM04    004C04  PSB       04.312  07:19:10.06  00020544  7.1  00006144  00002048  00018496
 APSFDCA     004D01  PSB       04.312  07:19:10.06  00022656  7.1  00004864  00001984  00020672
 APSFDRAA    004E01  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDRBA    004F01  PSB       04.312  07:19:10.06  00044672  7.1  00004928  00004416  00040256
 APSFDRCA    005001  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSFDRDA    005101  PSB       04.312  07:19:10.06  00040128  7.1  00010368  00004224  00035904
 APSFDREA    005201  PSB       04.312  07:19:10.06  00043072  7.1  00004928  00004224  00038848
 APSFDRFA    005301  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSFDRGA    005401  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSFDRHA    005501  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDRIA    005601  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDRJA    005605  PSB       04.312  07:19:10.06  00006144  7.1  00002048  00000832  00005312
 APSFDRKA    005701  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDRLA    005801  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDRMA    005901  PSB       04.312  07:19:10.06  00040512  7.1  00004928  00004224  00036288
 APSFDRNA    005A01  PSB       04.312  07:19:10.06  00038592  7.1  00004928  00004224  00034368
 APSFDROA    005B01  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSFDRPA    005C01  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSFDRQA    005D01  PSB       04.312  07:19:10.06  00036864  7.1  00010368  00004096  00032768
 APSFDRQP    005E01  PSB       04.312  07:19:10.06  00036864  7.1  00010368  00004096  00032768
 APSFDRRA    005F01  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDRSA    006001  PSB       04.312  07:19:10.06  00044672  7.1  00004928  00004416  00040256
 APSFDRTA    006101  PSB       04.312  07:19:10.06  00046400  7.1  00004928  00004608  00041792
 APSFDRUA    006201  PSB       04.312  07:19:10.06  00036800  7.1  00010368  00004032  00032768
 APSFDRVA    006301  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDRWA    006401  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSFDRXA    006501  PSB       04.312  07:19:10.06  00043200  7.1  00004928  00004224  00038976
 APSFDRYA    006601  PSB       04.312  07:19:10.06  00040192  7.1  00010368  00004288  00035904
 APSFDRZA    006701  PSB       04.312  07:19:10.06  00039744  7.1  00010368  00004288  00035456
 APSFDR0     006705  PSB       04.312  07:19:10.06  00011648  7.1  00004800  00001280  00010368
 APSFDR0A    006801  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR0X    006901  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR1     006A01  PSB       04.312  07:19:10.06  00038144  7.1  00010368  00004096  00034048
 APSFDR1A    006B01  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR2     006C01  PSB       04.312  07:19:10.06  00038144  7.1  00010368  00004096  00034048
 APSFDR2A    006D01  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR3     006E01  PSB       04.312  07:19:10.06  00037312  7.1  00010368  00004032  00033280
 APSFDR3A    006F01  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR4A    007001  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR5A    007101  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR6A    007201  PSB       04.312  07:19:10.06  00040128  7.1  00010368  00004224  00035904
 APSFDR7A    007301  PSB       04.312  07:19:10.06  00040064  7.1  00010368  00004288  00035776
 APSFDR8A    007401  PSB       04.312  07:19:10.06  00040064  7.1  00010368  00004288  00035776
1 16:59:37  04.313 - ACB DIRECTORY LIST FOR LIBRARY - K9210P.IMSA.ACBLIB
-ACB NAME     TTR    ACB-TYPE   DATE     TIME        SIZE     REL   PSBW      CSA       SAS
0APSFDR9A    007501  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFDR9P    007601  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSFP05A    007701  PSB       04.312  07:19:10.06  00038528  7.1  00010368  00004096  00034432
 APSLOAD     007801  PSB       04.312  07:19:10.06  00017152  7.1  00005952  00002112  00015040
 APSMPAG1    007806  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPAG2    007904  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPAG3    007A01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA01    007B01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA02    007C01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA03    007D01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA04    007E01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA05    007F01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA06    008001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA07    008101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA10    008201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA11    008301  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA12    008401  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA14    008501  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA15    008601  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA16    008701  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA17    008801  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA18    008901  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA19    008A01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA20    008B01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA21    008C01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA23    008D01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA24    008E01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA26    008F01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA28    009001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA29    009101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA30    009201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA31    009301  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA32    009401  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA35    009501  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA40    009601  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA50    009701  PSB       04.312  07:19:10.06  00040768  7.1  00022720  00004608  00036160
 APSMPA51    009801  PSB       04.312  07:19:10.06  00040768  7.1  00022720  00004608  00036160
 APSMPA52    009901  PSB       04.312  07:19:10.06  00040768  7.1  00022720  00004608  00036160
 APSMPA53    009A01  PSB       04.312  07:19:10.06  00040768  7.1  00022720  00004608  00036160
 APSMPA54    009B01  PSB       04.312  07:19:10.06  00040768  7.1  00022720  00004608  00036160
 APSMPA55    009C01  PSB       04.312  07:19:10.06  00040768  7.1  00022720  00004608  00036160
 APSMPA56    009D01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA57    009E01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA58    009F01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA59    00A001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA60    00A101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA61    00A201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA62    00A301  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA63    00A401  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA64    00A501  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
1 16:59:37  04.313 - ACB DIRECTORY LIST FOR LIBRARY - K9210P.IMSA.ACBLIB
-ACB NAME     TTR    ACB-TYPE   DATE     TIME        SIZE     REL   PSBW      CSA       SAS
0APSMPA65    00A601  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA66    00A701  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA67    00A801  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA68    00A901  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA69    00AA01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA70    00AB01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA71    00AC01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA72    00AD01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA73    00AE01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA74    00AF01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPA75    00B001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPBG1    00B101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB02    00B201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB03    00B301  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB04    00B401  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB05    00B501  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB06    00B601  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB07    00B701  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB09    00B801  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB10    00B901  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB11    00BA01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB12    00BB01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB14    00BC01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB15    00BD01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB16    00BE01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB17    00BF01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB18    00C001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB19    00C101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB20    00C201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB21    00C301  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB22    00C401  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB23    00C501  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB24    00C601  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB26    00C701  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB27    00C801  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB29    00C901  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB30    00CA01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB31    00CB01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB32    00CC01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB35    00CD01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB40    00CE01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB56    00CF01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB57    00D001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB58    00D101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB59    00D201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB60    00D301  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB61    00D401  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB62    00D501  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB63    00D601  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB64    00D701  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
1 16:59:37  04.313 - ACB DIRECTORY LIST FOR LIBRARY - K9210P.IMSA.ACBLIB
-ACB NAME     TTR    ACB-TYPE   DATE     TIME        SIZE     REL   PSBW      CSA       SAS
0APSMPB65    00D801  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB66    00D901  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB67    00DA01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB68    00DB01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB69    00DC01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB70    00DD01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB71    00DE01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB72    00DF01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB73    00E001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB74    00E101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB75    00E201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB81    00E301  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPB82    00E401  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC03    00E501  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC04    00E601  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC05    00E701  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC06    00E801  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC07    00E901  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC10    00EA01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC11    00EB01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC12    00EC01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC14    00ED01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC15    00EE01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC16    00EF01  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC17    00F001  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC18    00F101  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
 APSMPC19    00F201  PSB       04.312  07:19:10.06  00041088  7.1  00022720  00004608  00036480
