#CTGPL           *MAP A CATALOG PARAMETER LIST (VERY OLD)..............*
CRACK            *RACF OVER-RIDE.......................................*
CRAMP            *CREATE ARCHIVER CONTROL CARDS FOR DUPLICATE MODULES..*
CRAMPOFF         *TERMINATION HOUSEKEEPING FOR PROGRAM 'CRAMP'.........*
CRAMPON          *CALL PROGRAM 'CRAMP'.................................*
CRAP             *CARTWRIGHT'S RACF ACCOUNTING PROGRAM.................*
CSATABLE         *FORMAT OF IN STORAGE TAPE VOLSER TABLE...............*
CUSS23           *USER2 EXIT FOR SMF COPY PROGRAM TO DELETE SMF2 AND 3.*
DATE             *MACRO TO REFORMAT DATE TO DDMMMYY (GUIDE UK M56005AS)*
DAVE73           *CREATE SUMMARY RECORDS FROM SMF73 DATA...............*
DAVE73PR         *SHOW AVERAGE CHANNEL UTILISATION.....................*
DAVE74           *CREATE SUMMARY RECORDS FROM SMF74 DATA...............*
DAYOMNTH         *SET RETURN CODE FROM DAY OF MONTH....................*
DAYOWEEK         *SET RETURN CODE FROM DAY OF WEEK.....................*
DCB2UCB          *LOCATE UCB FROM AN OPEN DCB..........................*
DCFOFF           *ISPF EDIT MACRO TO CONVERT DCF/GML TO UOW/SYSPUB....*/
DCFON            *ISPF EDIT MACRO TO CONVERT UOW SCRIPT TO DCF/GML....*/
DCPCOMP1         *DATA UTILITY 1 - COMPRESS DATA.......................*
DCPCOMP2         *DATA UTILITY - COMPRESS DATA.........................*
DCPEXPD1         *DATA UTILITY 2 - EXPAND   DATA.......................*
DCPEXPD2         *DATA UTILITY - DE-COMPRESS DATA......................*
DCPSCBF          *STRING CONTROL BYTE MAPPING..........................*
DCSCOMP3         *DATA UTILITY - COMPRESS DATA E35 SORT EXIT...........*
DCSEXPD3         *DATA UTILITY - DE-COMPRESS DATA SORT EXIT E15........*
DC73REC          *RMF 73 SUMMARY RECORD FORMAT FROM 'DAVE73'...........*
DC74REC          *RMF 74 SUMMARY RECORD FORMAT FROM 'DAVE74'...........*
DEMANDS          *DELETE MEMBERS FROM ANOTHER DATASET..................*
DEMEMBER         *DELETE MEMBERS WITH NON-STANDARD NAMES...............*
DEVOFF           *VARY A DEVICE OFFLINE AND TELL OPC/A ABOUT IT........*
DRKUX006         *ASSEMBLY OF OPC INCIDENT RECORD CREATE EXIT..........*
EDX              *TSO  CLIST..........................................*/
EDX              *HSM LIST BACKUP DATA USING $HBLIST FROM CBT FILE134 */
EMPTOR           *VSAM CLUSTER DEFINITION CONTROL CARD GENERATOR.......*
EMPTYPDS         *COMPLETELY EMPTY A PDS...............................*
EMPTYPDS         *TEST IF A DD STATEMENT IS PRESENT BEFORE OPEN........*
ENDBLANK         *SUB-ROUTINE TO FIND LAST NON-BLANK CHAR..............*
FSF              *DIRECTLY READ THE CA-1 TMC TO FIND A SCRATCH TAPE....*
GETACEE          *LOCATE RACF ACEE.....................................*
GETDATE          *USAF PROGRAM TO DO DATE CONVERSION + HOLIDAY TABLE...*
GETDEV           *CODE TO GET THE DEVICE CHARACTERISTICS FROM A UCB....*
GETDVCT          *CODE TO LOCATE DEVICE CHARACTERISTICS TABLE FOR DISK.*
GETMOVE          *GENERALISED GET/MOVE ROUTINE.........................*
GETSTORE         *VIRTUAL STORAGE MANAGEMENT...........................*
GETSTORR         *VIRTUAL STORAGE MANAGEMENT (RE-ENTRANT)..............*
GETTING          *GENERIC GET LOCATE. THIS IS CODED FOR RE-ENTRANCY....*
GETTINV          *GET LOCATE FOR VARIABLE LENGTH RECORDS...............*
GETUCVTR         *RE-ENTRANT ROUTINE TO FIND OR BUILD THE USER CVT.....*
GETVVR           *SUB-PROGRAM TO RETURN VVR DATA FOR AN ENTITY.........*
GOSUB            *MACRO TO EXECUTE SUB-ROUTINE.........................*
HORIZON          *DATA UTILITY - WRITE BLOCKS OF DATA..................*
HPR              *PRINT EXPLANATION OF HSM SMF RECORDS.................*
ICFDSECT         *ICF CATALOG BCS DATA FORMATS.........................*
ICFGDGSC         *CHANGE GDG BASE ENTRIES FROM NOSCR TO SCRATCH........*
ICF3490          *3480 TO 3490 CATALOG CONVERSION......................*
IEAVMXIT         *DEFAULT MPF EXIT - LABEL AND SUPPRESS WTO ...........*
IEFBR15          *IEFBR15 CPU SOAKER...................................*
IXVTOCF5         *PSEUDO FORMAT 5 DSCB'S FOR INDEXED VTOCS.............*
JCLINDEX         *USE MY VERSION OF 'LISTPDS' TO CREATE @INDEX.........*
JFCBREAD         *READ JFCB ROUTINE....................................*
JOBBUFNI         *ALTER VSAM CLUSTER PARAMETERS SAMPLE JOB.............*
LASSOO           *PROGRAM TO SET ADDRESS SPACE SWAPPABLE OR NOT........*
LENGTH           *RE-ENT ROUTINE TO FIND LENGTH OF A CHARACTER FIELD...*
LISTICF          *CATALOG LISTING - ONE LINE PER ENTRY.................*
LN12             *CREATE FCB = LN12 FOR ROTATED LISTINGS...............*
LOGAN            *SYSLOG ANALYSIS PROGRAM FROM GG24-3142-01...........*/
MAPDISK          *MAP DISKS WITH ICF/VSAM DETAILS - SMS VERSION........*
MAPDJCL          *SAMPLE JCL FOR MAPDISK PROGRAMS......................*
MAPDLIST         *PRINT MAPDISK SUMMARY RECORDS IN MAPDISK FORMAT......*
MAP3380          *ONE PAGE SUMMARY OF ONLINE DISKS (3380) FOR ESA V4...*
MAP3390          *ONE PAGE SUMMARY OF ONLINE DISKS (3390) FOR ESA V4...*
MDCB             * DD TABLE ENTRY FORMAT...............................*
MPFTAPEK         *MAINTAIN TAPE TABLES IN CSA..........................*
MPFTAPEM         *MPF EXIT TO SMF RECORD TAPE MOUNT, FIND VOLUME.......*
MPFTAPEQ         *SET RETURN CODE IF TAPE MAY BE IN A STACKER..........*
MPFTAPET         *COPY BLOCK TO INITIALISE UNIT VOLUME TABLES..........*
MROPCEW          *USER PROGRAM TO COMMUNICATE WITH OPC/A...............*
M80ESA3          *ONE PAGE SUMMARY OF ONLINE DISKS (3380) FOR ESA V3...*
M80XA2           *ONE PAGE SUMMARY OF ONLINE DISKS (3380) FOR MVS/XA V2*
M90ESA3          *ONE PAGE SUMMARY OF ONLINE DISKS (3390) FOR ESA V3...*
OLDCOMP2         *DATA UTILITY - COMPRESS DATA.........................*
OLDEXPD2         *DATA UTILITY - DE-COMPRESS DATA......................*
OPENCLOS         *STANDARD OPEN AND CLOSE ROUTINES.....................*
OPENEM           *STANDARD CODE TO OPEN TABLE OF DDNAMES...............*
PACK2            *CONVERT ONE BYTE UNSIGNED PACKED DECIMAL DATA TO BIN.*
PARMPROC         *SAVE ADDRESS AND LENGTH OF PARM OF EXEC CARD.....*
PARSEVVR         *ROUTINE TO FIND COMPONENTS OF A VVR..................*
PERCENT0         *PERCENTAGE CALCULATION TO 0 DECIMALS.................*
PGMIN            *STANDARD PROGRAM ENTRY MACRO (NON-RENT)....(M56025AS)*
PGMOUT           *MACRO TO RETURN FROM PROGRAM.........................*
PRINT            *WRITE SUBROUTINE FOR SYSPRINT........................*
PRINTV           *REPORT PROCESSING SKELETON - VARIABLE LENGTH LINES...*
PUTMOVE          *GENERALISED PUT/MOVE ROUTINE.........................*
QLADD            *CODE TO ADD AN ELEMENT TO A CHAIN OF STORAGE AREAS...*
REDATE           *REFORMAT SMF DATE TO SOMETHING USEFUL................*
RESULTS          *RESULTS OF SPECIAL VSAM CATALOG ACCESS ROUTINE.......*
RESUME           *BRIAN VOGT'S RACF UTILITY TO UN-REVOKE A USER (STC)..*
RETIME           *REFORMAT SMF TIME TO SOMETHING USEFUL................*
RIN              *RE-ENTRANT SUBROUTINE ENTRY MACRO....................*
RLSEJCL          *USE VTOC, RELEASE SPACE IN OVER-ALLOC PS FILES.......*
RMFCHUND         *CONVERT RMF INTERVAL TO BINARY HUNDREDTHS OF SECOND  *
RMFCTU           *CONVERT RMF INTERVAL TO 1024 MICROSECOND UNITS.......*
ROTATES          *90 DEGREE PRINT ROTATION PROGRAM, VARIABLE PAGE SIZE.*
ROUT             *RE-ENTRANT SUB-ROUTINE EXIT MACRO....................*
SCAN             *MACRO TO SCAN FOR DATA...............................*
SCRATCH          *SCRATCH WITHOUT ENQ..................................*
SEAFOOD          *RE-FORMAT SMF DATE TO INCLUDE MONTH..................*
SECFWMPF         *MPF EXIT TO DISABLE CACHE FAST WRITE.................*
SECFWOFF         *TURN OFF CACHE FAST WRITE FOR PAGING.................*
SECFWON          *FIND CACHE FAST WRITE IDENT AND STICK IT INTO ASM....*
SECOMMON         *COMMON CODE FOR CACHE PAGING DRIVERS.................*
SECR01           *CACHE REPORTER WITH ATAG MODS........................*
SEDFWOFF         *TURN OFF DASD FAST WRITE FOR PAGING..................*
SEDFWON          *TURN ON DASD FAST WRITE FOR PAGING...................*
SEGIN            *RE-ENTRANT SUBROUTINE ENTRY MACRO ...................*
SEGOUT           *RE-ENTRANT SUBROUTINE EXIT MACRO.....................*
SENDOFF          *USER EXIT FOR SMFDUMP PROGRAM TO ONLY SELECT WORKDAYS*
SEREC            *IBM 3990-3 SUBSYSTEM STATISTICS RECORD...............*
SERVED70         *CREATE SUMMARY RECORDS FROM SMF70 DATA...............*
SERVED72         *CREATE SUMMARY RECORDS FROM SMF72 DATA...............*
SESMF            *USER SMF RECORD (239) FROM CACHE MONITOR.............*
SETEOD           *SET END OF DATA ADDRESS FOR AN INPUT DCB.............*
SETOFF           *PROGRAM TO CALL DRKUSINT.............................*
SEWTO            *SUBROUTINE TO PERFORM A WRITE TO OPERATOR............*
SE30EXT          *A SPECIAL VERSION OF SUM30EXT INCLUDING RACF FIELDS..*
SE30RPT          *SEAG VERSION OF SMF30 SUMMARY - LARGER TIME FIELDS...*
SE526            *TRANSLATE CHARACTERS INPLACE.........................*
SE70REC          *RMF 70 SUMMARY RECORD FORMAT FROM 'SERVED70'.........*
SE71REC          *RMF 71 SUMMARY RECORD FORMAT FROM 'SERVED71'.........*
SE72REC          *RMF 72 SUMMARY RECORD FORMAT FROM 'SERVED72'.........*
SE80REC          *RMF 80 SUMMARY RECORD FORMAT FROM 'SERVED80'.........*
SMFHEAD          *FORMAT OF SMF RECORD STANDARD HEADER.................*
SMFWRITR         *RE-ENTRANT SMF WRITE ROUTINE.........................*
SMF1415          *REPORT ON NON-VSAM FILE ACTIVITY FROM SMF 14 + 15....*
SMF234           *FORMAT OF TAPE MOUNT/DEMOUNT SMF RECORD..............*
SMIXAPPE         *APPLY DF/SORT INPUT EXIT USERMOD (DO NOT ACCEPT).....*
SMIXRECE         *INSTALL DF/SORT INPUT EXIT ICEIEXIT..................*
SMOPAPPE         *APPLY USERMOD TO ALTER DF/SORT DEFAULTS..............*
SMOPRECE         *RECEIVE USERMOD TO ALTER DF/SORT DEFAULTS............*
SM80             *MAP3380 VERSION FOR STORAGE MANAGEMENT REXX..........*
SPMGCLD          *DYNAMIC ALLOCATION UTILITY FOR VSAM..................*
SSDCE15          *DATA UTILITY 2 - EXPAND   DATA SORT EXIT E15.........*
SSDCJCL1         *SAMPLE JCL TO SHOW DATA COMPRESSION - SAVE SMF RECORDS
SSDCJCL2         *RMF OVER A MONTH FROM COMPRESSED DATA................*
SSDC02           *DATA UTILITY 1 - COMPRESS DATA.......................*
SSDC03           *DATA UTILITY 2 - EXPAND   DATA.......................*
SSWAIT           *WAIT PROGRAM WITH INTERRUPT FEATURE..................*
STATDS           *PROGRAM TO GIVE STATISTICS ON A DATASET..............*
STDDAY01         *STANDARD DAY NUMBER CONVERSION ROUTINE (DSCB1 FORMAT)*
STDDAY11         *STANDARD DAY NUMBER CONVERSION ROUTINE (TIME FORMAT).*
STRING           *MACRO SPECIFIC TO MPFTAPE. EXITS - BUILD UNIT TABLES.*
STRNGEND         *MACRO SPECIFIC TO MPFTAPE. EXITS - BUILD UNIT TABLES.*
STROBE           *STROBE2 - ENHANCED SMF SNAPSHOT PROGRAM.............*/
SUBIN            *MACRO FOR SUB-ROUTINE ENTRANCE.......................*
SUBLR            *RELOAD SUBIN REGISTER........................(M56035)*
SUBOUT           *MACRO FOR SUB-ROUTINE EXIT...........................*
SYSEVENT         *SYSEVENT ANALYSIS SYSTEM FROM STANDARD OIL VIA CBT..*/
SYSUT1RD         *READ SUBROUTINE FOR SYSUT1...........................*
S26VOLA          *SVC26 ENTVOL MAPPING DSECT...........................*
S36PRTU4         *ASSEMBLER PROGRAM TO PRINT S/36 PRINT FILE FROM XFER.*
S9A1             *ROTATED CHAR017V FOR 12 PITCH GOTHIC ROTATED SWISS...*
TESTDD           *TEST IF A DD STATEMENT IS PRESENT BEFORE OPEN........*
TESTIOT          *MACRO TO SEARCH TIOT FOR GIVEN DDNAME................*
TODDATE          *TOD-CLOCK DATE CONVERSION ROUTINE....................*
TRIM             *COMMON CODE TO OUTPUT A VALUE IN PRINTABLE FORM......*
TRUISMS          *MORE SAYINGS FOR 'MURHY', JIM MARSHAL'S PHILOSOPHER. *
TSGINNRA         *PREFORMATTING MACRO...............(GUIDE UK M56042AS)*
UNBLANK          *SUB-ROUTINE REMOVE IMBEDDED BLANKS FROM TEXT - TO END*
UNPACK           *CONVERT FIELD TO HEX.................................*
USERCVT          *FORMAT OF USER CVT HUNG OUT OF 'CVTUSER' FIELD.......*
VSAMANAL         *COMPILE AND ASSEMBLE VSAMANAL TO STEPLIB.............*
VSAMANAL         *VSAMANAL UPDATED FOR 3380 (AND 3390?)................*
VSAMANAL         *VSAMANDX - CALCULATE INDEX PARAMETERS..............*/
VSMERROR         *VSAM ERROR ROUTINE FROM GERMAN G.U.I.D.E. GOODIES....*
VVRDSECT         *VVR RECORD FORMATS...................................*
WCGMLST1         *STANDARD EBCDIC AND WCGM ASSIGNMENTS.................*
WCGMLST2         *SPRECHER EBCDIC AND WCGM ASSIGNMENTS FOR NLS CHARS...*
WRITEV           *GENERALISED VARIABLE LENGTH WRITE ROUTINE............*
WRITING          *GENERALISED WRITE ROUTINE............................*
XXSYS1SC         *XXVSAMSC MODIFIED TO SCRATCH SYS1. FILES WHILST OPEN.*
ZCSECT           *PROGRAM ENTRY HOUSEKEEPING - RE-ENTRANT..............*
ZRETURN          *PROGRAM EXIT MACRO, RE-ENTRANT.......................*
