Access(testing spool) Spooltest         ID, Spool res name, access lvl        11
Dsn auth (all)        Dsnall            ID, DSname, # days ('AUDIT')           5
Dsn auth (read)       Dsnread           ID, DSname, # days ('AUDIT')           5
Dsn auth (update)     Dsnupdate         ID, DSname, # days ('AUDIT')           5
Dsn auth (None)       Dsnnone           ID, DSname, # days ('AUDIT')           5
Dsn auth revoking     Dsnrevoke         ID, DSname                             5
Dsn test access       Dsntest           ID, DSname, Requested access           5
Dsn Ownership(adding) Dsnown            ID, DSname                             5
Emp num, replacing    NEWENUM           ID, new Employee number                5
Emp num search        IE                Employee number                        5
Error log Write       Writedebug        None                                   5
Expire                Expire            ID, # of days ( MAX = 255)             3
Extending, password   Pwx               ID                                    10
EDIT   Util DSN       E1 e2 e3 e4 e5    NONE                                   3
Facility Adding       Af                ID, The facility                       4
Facility Listing      Lfac              facility                               8
Facility Modify       Modfac            facility, res1, res2 *CAUTION         10
Group command         Groupc            Group, The command to issue           10
Group delete          Groupdelete       Group of Ids to be deleted            10
Insert                In                ID, profile , position + days         10
ID addition (JES)     Jesidadd          ID, the ID to be given                10
ID clone              Clone             ID, ID to be cloned from*CAUTION       4
ID converting to JCL  Co                ID to be converted                     4
ID creation           Add               The ID to be created                   4
ID removal  (JES)     Jesidadd          ID, the ID to be given                 8
ID Tracking           Track             ID, # of days to go back               3
Job addition (JES)    Jesjobadd         ID, the Jobname to be given            6
Job removal (JES)     Jesjobremove      ID, the Jobname to be removed          6
JCL (TSO auth)        Tsoauth           ID, TSO authority to grant             6
JES   access test     Spooltest         ID, spool resource, access level      10
JES ID  addition      Jesidadd          ID, the ID to be given                 6
JES ID  removal       Jesidremove       ID, the ID to be given                 6
JES JOB addition      Jesjobadd         ID, the Jobname to be given            6
JES JOB removal       Jesjobremove      ID, the Jobname to be removed          6
List facility         Lfac              The facility name                      9
List name             Listname          ID to have names listed                3
List password         Listpw            ID                                     6
List ID               L                 ID, data to be listed                  4
List ID(basic data)   Listid            ID                                     2
List ID(screen)       Ls                ID, data to be listed                  3
Listout               Lo                ID, data to be listed                  3
Listout to screen     Ls                ID, data to be listed                  3
Locate                .xxxxx            None                                   3
Log Debug Write       Writedebug        None                                   5
Logon Proc            Addproc/remproc   ID, proc to be added/removed           3
Mode change           Batch/online      None                                   4
Modify facility       Modfac            facility, res1, res2 *CAUTION         10
Modifying a profile   Modify            Profile                                6
MOUNT (TSO auth)      Tsoauth           ID, 'MOUNT'                            6
MVS cmds permitting   Opercmdper        ID, The oper command to permit         9
MVS cmds revoking     Opercmdrev        ID, The oper command to revoke         9
Name replace          Newname           ID, the new name for the ID            3
Online                Online            None                                   4
Opercmds permitting   Opercmdper        ID, The oper command to permit         4
Opercmds revoking     Opercmdrev        ID, The oper command to revoke         8
Ownership DSN(adding) Dsnown            ID, DSname                             9
OPER (TSO auth)       Tsoauth           ID, 'OPER'                             6
Password extension    Pwx               ID                                     5
Password list         Listpw            ID                                     4
Password overlay      Pwrep             ID, The new password                   4
Password NON expire   Pwnoxp            ID                                     8
Print a DSN           Printdsn          The dataset to print                  14
Proc logon adding     Addproc           ID, The logon to add                  10
Proc logon removing   Remproc           ID, The logon proc to remove          10
Profile inserting     In                ID, profile , position + days          6
Profile modifying     Modify            Profile                                6
Profile rem all ids   Disconnect        Profile                                8
Profile replacing     Repprof           Old prof, newprof                      4
PARMLIB (TSO auth)    Tsoauth           ID, 'PARMLIB'                          6
Read authority        Dsnread           ID, DSname, # days ('AUDIT')           5
Reinit                Reinit            None                                   4
Rem logon proc        Remproc           ID, The logon proc to remove           5
Remove                Re                ID                                     6
Remove auth           Remat             ID                                     5
Remove auth (DSNs)    Dsnnone           ID, DSname, # of days to prevent       5
Remove facility       Rf                ID, The facility to remove             4
Remove ids profile    Disconnect        Profile                                8
Remove logon proc     Remproc           ID, The logon proc to remove          10
Remove Acct numb      Remacct           ID, The acct # to remove               5
Remove STC            Remstc            ID, The stc entry to delete            9
Rename                Rename            ID, The new ID name                    4
Replace name          Newname           ID, the new name for the ID            4
Replace password      Pwrep             ID, The new password                  10
Replace prof globally Repprof           Old prof, newprof                      4
Replace profile       Rp                ID, prof to go, prof to rep it         4
Replacing, name field Newname           ID, the new name for the ID            4
Reset a userid        Reset             ID                                     5
Resurrection          Resurrect         ID to be recreated                     5
Resource ownership    Rwho              rtype, rname, entire outdsn            5
Resource ownership    Rwhohas           Panel prompt                           5
Run audit job         Audit             ID , # of days back to go             10
Scrolling             Pf7 and 8         None                                   5
Spool access test     Spooltest         ID, spool resource, access level      11
Spool ID auth (JES)   Jesidadd/rem      ID, the ID to be affected              6
Spool JOB auth (JES)  Jesjobadd/rem     ID, the Jobname affected               6
Status                Status or pf1     None                                   4
Submit batch          Sub               None                                   4
Suspend(add major)    Suspend           ID                                     3
Suspend(remove both)  Unsus             ID                                     2
Suspend(remove minor) U                 ID                                     2
Test DSN access       Dsntest           ID, DSname, Requested access           4
Test, volume access   Voltest           ID, VOLUME, Requested access           4
TRack TSS changes     Track             ID, # of days to go back               5
TSO account #         Addacct           ID, The acct # to add                  6
TSO default size      Defsize           ID, The new default size               6
TSO default unit      Defunit           ID, The new default unit               6
TSO default Acct      Defacct           ID, The new default account            6
TSO full setup        Deftso            ID, Lproc, ACCT #                      6
TSO logon proc        Addproc           ID, The logon to add                   6
TSO Account cmd       Tsoauth           ID, 'ACCT'                             6
TSO JCL authority     Tsoauth           ID, 'JCL'                              6
TSO Max Size          Maxsize           ID, new max size in K                  6
TSO Mount             Tsoauth           ID, 'MOUNT'                            6
TSO Oper auth         Tsoauth           ID, 'OPER'                             6
TSO Parmlib           Tsoauth           ID, 'PARMLIB'                          6
Undelete a userid     Resurrect         ID to be recreated                     5
Unsuspend             Unsus             ID                                     3
Update authority      Dsnupdate         ID, DSname, # days ('AUDIT')           5
Variable change       Pf1               None                                   5
Variable view         Pf1               None                                   5
Volume,testing access Voltest           ID, VOLUME, Requested access          11
