Access(testing spool) Spooltest         ID, Spool res name, access lvl         5
Spool JOB auth (JES)  Jesjobadd/rem     ID, the Jobname affected               4
Status                Status or pf1     None                                   4
Submit batch          Sub               None                                   4
Suspend(adding)       Suspend           ID                                     2
Suspend(removing )    Unsus             ID                                     4
Table update (bill)   Billjob           None                                   2
Table update(bill)    Imsbill           The booknumber to view/update          4
Test DSN access       Dsntest           ID, DSname, Requested access           4
Test, volume access   Voltest           ID, VOLUME, Requested access           4
TRack TSS changes     Track             ID, # of days to go back               5
TSO account #         Addacct           ID, The acct # to add                  6
TSO authority         Acc               ID, The logon proc ( RHD ONLY)         4
TSO default size      Defsize           ID, The new default size               4
TSO default unit      Defunit           ID, The new default unit               4
TSO default Acct      Defacct           ID, The new default account            4
TSO full setup        Deftso            ID, Lproc, ACCT #                      4
TSO logon proc        Addproc           ID, The logon to add                   4
TSO Account cmd       Tsoauth           ID, 'ACCT'                             4
TSO JCL authority     Tsoauth           ID, 'JCL'                              6
TSO Max Size          Maxsize           ID, new max size in K                  6
TSO Mount             Tsoauth           ID, 'MOUNT'                            4
TSO Oper auth         Tsoauth           ID, 'OPER'                             6
TSO Parmlib           Tsoauth           ID, 'PARMLIB'                          6
Undelete              Resurrect         ID to be recreated                     5
Unsuspend             Unsus             ID                                     4
Update authority      Dsnupdate         ID, DSname, # days ('AUDIT')           5
Variable change       Pf1               None                                   5
Variable view         Pf1               None                                   2
Volume,testing access Voltest           ID, VOLUME, Requested access           2
