| Member  | Description         (Enter "INDEX ?" command for more info.)
|RVSMDELT |READ VSAM NON-ISPF INTERFACE
|RVSMDISP |READ VSAM NON-ISPF INTERFACE
|RVSMDYNA |READ VSAM NON-ISPF INTERFACE
|RVSMEMPT |READ VSAM NON-ISPF INTERFACE
|RVSMENTR |READ VSAM NON-ISPF INTERFACE
|RVSMFIND |READ VSAM NON-ISPF INTERFACE
|RVSMINIT |READ VSAM NON-ISPF INTERFACE
|RVSMISRT |READ VSAM NON-ISPF INTERFACE
|RVSMMAIN |READ VSAM NON-ISPF INTERFACE
|RVSMMDAT |READ VSAM NON-ISPF INTERFACE
|RVSMREAD |READ VSAM NON-ISPF INTERFACE
|RVSMTRTB |READ VSAM NON-ISPF INTERFACE
|RVSMTRT2 |READ VSAM NON-ISPF INTERFACE
|SECURITY |?????
|SHOWDS   |Show dataset info
|SMFEXIT1 |?????
|SPFALLOC |Dynamic ISPF allocations (B.O'Reily)
|SPLATANY |Decay ISPF screen
|SPLATIC  |?????
|SPLATISP |SPLAT ISPF primary options menu
|SPLATIW  |?????
|SPLATI0  |?????
|SPLATTI0 |?????
|SPLATTSO |SPLAT ISPF primary options menu under TSO
|SPLATT0  |Used by SPLAT*** programs
|SPLAT05  |Used by SPLAT*** programs
|SPLAT10  |Used by SPLAT*** programs
|SPLAT10C |Used by SPLAT*** programs
|SPLAT10W |Used by SPLAT*** programs
|SVCADD   |Program to dynamically add an SVC
|SVCAUTH  |PROGRAM TO AUTHORISE EXECUTING PROGRAM
|SVC235RC |?????
|SWAPIN   |?????
|SYSPGET  |Get IEASYS parameters from MTT at IPL time
|SYSPGETX |SYSPGET without my macros
|SYSPGET1 |Kickoff macro expansion for inclusion in SYSPGETX
|SYSPGET2 |Rackoff macro expansion for inclusion in SYSPGETX
|SYSTEM   |Display system IPL details
|SYSTEMID |RETURN THE SYSTEM NAME (ID)
|TAPECOPY |Tape copy (Off CBT tape)
|TAPELOOK |Tape map (off CBT tape)
|TAPEMAP2 |?????
|TEST10   |?????
|TEST11   |?????
|TEST12   |?????
|TEST15   |?????
|TSOLOOK  |As obtained from the CBT (Refer ISPFLOOK)
|TSTVOLID |TEST VALIDITY OF A VOLSER
|UCBSCAN$ |List all UCB's (using new macros)
|UNMASK   |?????
|VOL$CUA  |Volser/CUA conversion (vice-versa)
|VRUSRCVT |VRUCVT without my macros
|VTOC     |VTOC SOURCE
|VTOC$    |JCL TO ASSEMBLE/LINK-EDIT 'VTOC'
|VTOCTRKS |Read VTOC of a volume and display DSCB info in track order
|WESTASSM |?????
|XFMID    |?????
|ZMMNU01  |?????
