3080	1.17, 5.4
	31.10-11, 36.5
DCSSGEN	25.31
DDR	1.8, 8.29-31, 16.28, 24.35
Debugging	21.9-11
DEFINE	15.35
Delete	14.27-28
Diagnose	1.8, 1.23, 1.31, 3.3,
	3.21, 3.33, 5.23-24, 6.10, 7.36, 8.44-49,
	 14.7, 15.33, 15.36, 19.3-7, 19.50, 20.47,
	 24.12-13, 36.36, 36.40, 36.42
DIAL 	3.41-43, 11.48-50,
	12.16-25, 21.19-21, 30.49-50
Dialogue management	13.3
Diary	35.11-22
Directory	 1.7-12, 3.21, 4.26, 5.23,
	7.33-35, 9.34-36, 11.3-5, 11.30,
	13.36, 13.38, 14.7, 15.14, 15.26,
	17.5, 17.20-21, 18.41, 22.35, 24.34,
	25.7, 25.41, 27.3-10, 30.3-12, 34.3-13
DIRMAINT	24.34, 35.40
Disassembler	16.32-47
Diskmap	27.3
Disks	2.7-9, 3.9-16,
	3.31, 5.9, 5.14, 5.15-19, 5.19-21,
	5.21-22, 6.29-37, 8.37-42, 9.4-8,
	10.50-51, 11.3, 30.27-29, 31.35
Disk space reports	21.43-48, 22.8-27
DISKW	19.33
Display screen	28.12-19
DITTO	26.7
DL/I	25.17-24
DMKBOX	26.49
DMKCFC	9.31, 13.40, 15.25-26
DMKCFJ	7.36
DMKCFM	13.40
DMKCPE	26.49
DMKCPS	31.36
DMKCPI	1.42
DMKCQY	7.36
DMKCST 	19.46
DMKDIA	3.42, 30.49
DMKFRE	1.37-42
DMKFRT	1.37-42
DMKIOQ	1.18,  11.51
DMKIOS	1.18
DMKLNK	21.28
DMKLOG	13.40
DMKPGT	33.47
DMKQCN	15.25
DMKQCP	1.40
DMKRIO	22.35, 22.46, 29.46, 36.5
DMKSCN	15.25
DMKSNT	12.3, 14.7, 20.47, 22.3,
	31.10, 32.30-31, 32.36, 36.5
DMKSPT	1.42
DMKSYM	3.3
DMKSYS	5.7, 10.37, 14.51, 22.46,
	29.38, 33.35, 36.5
DMKTRA	3.17
DMKUCB	36.5
DMKUCC	36.5
DMKUSS	36.5
DMKVCB	36.5
DMKVCV	1.40
DMKVDH	33.36
DMKVDR	1.19, 35.49
DMS	16.49, 28.19-21
DMSACF	4.32, 33.50-51
DMSACG	33.50-51
DMSACM	4.32
DMSFLE	23.42
DMSFREE	1.37-42, 23.37, 28.27,
	33.21-22
DMSFRET	1.37-42, 23.37, 33.21-22
DMSPRT	12.45
DMSSRT	19.29
DMSTPG	12.46
DMTAXA	5.13
DMTAXS	5.13
DMTNPT	11.44
DOS	14.29
DPA	17.5
DTSUTIL	30.43
Dump 	3.38-39, 7.29-31, 12.46, 25.32-36
DVMSEL	4.42
DYNAM/CMS 	1.3-7
Dynamic Paging Area	17.5
Eligible list	17.6
EMSG	18.32
Encoding/decoding	 8.11-17, 9.15,
	11.15-16, 23.36-41
Error handling	13.35-36, 33.39-45
ESTAE	12.10
EXEC	13.14, 13.35, 14.10, 16.48-50
EXEC2	13.35, 17.3-4
EXECDROP	28.35
EXECIO	18.34, 18.39, 19.33,
	22.40, 25.36
Expert systems	14.3-6, 15.19-25, 16.7-15
FAVOR	23.51, 24.3, 28.3, 31.3-5, 36.8
FCB	31.38
File conversion	26.7-18
FILDEF	13.3-4, 19.10, 22.40,
	23.42-44, 24.46-47, 27.43
FILEL	19.43, 21.38, 26.33-34, 30.27
File mode	13.14-15
Filenames	8.26-29, 11.39, 13.14-15
File recovery	1.7-12
File scanning	2.14-15, 4.30-32, 5.34-37,
	6.6-8, 6.14-15, 6.26-28, 7.4,
	 7.43, 10.14-15, 11.17-22
File transfer	19.10-17
Filetype	13.14-15, 15.13
FLIST	21.38, 26.33-36
Flush list	17.6
Font	16.4-6
Formatting reports	24.40-46
FORTRAN	23.17-26
Free list	17.6
FREEMAIN	33.22
Free Space	19.41-43
Free Storage Area	17.5, 23.16-17, 35.3-10
FRETRAP	1.37-42, 35.3
FSA	17.5, 23.16-17, 35.3-10
FTP	17.41
GAP file	5.19, 7.43
GCS	12.3-10, 13.36-37, 20.36,
	21.19-21, 22.3, 35.50-51
GDDM	2.9-11, 6.9
GENMOD	28.27, 32.27
GETMAIN	33.22
GETVIS	12.39-43
Ghost users	1.13-16, 26.47-48
Global commands	27.10-13
GLOBALV	17.21, 22.38
GOS	1.31-33, 2.30, 9.41, 10.16-19
HCPLDL	29.44
HCPRIO	36.5
HCPSYS	36.5
Help	7.39-43, 8.11, 12.34
Hexdump	25.32-36
Hierarchical directories	23.35
Highlighting	30.39-42
ICCF	6.3, 6.29, 10.31, 16.25,
	30.43-48, 33.24, 34.38-41
IFS	23.35
Indicate	14.39, 24.3
Interactive File Sharing	23.35
Interrupt handler	15.34, 15.36, 16.17
I/O	1.17-18, 3.17-18, 3.31,
	10.6, 1016, 15.32-39, 16.17-25, 17.7-16,
	 18.23-31, 19.17-28, 19.51, 29.45-46
IOCP	36.4
IPCS	 1.38
IPF	2.9, 2.41, 3.39, 6.10, 12.8, 12.43,
	26.33, 29.23
IPL	1.8, 1.13, 2.30-38, 3.5-8,
	5.14, 6.16, 8.3-5, 8.7, 10.3,
	10.41-42, 11.39, 14.6, 26.47, 31.35
ISPF	6.32, 10.3-5, 10.20-27, 11.5-14,
	13.3-5, 20.3, 26.8, 27.19-21, 29.3-9
ISRSLIB	13.3
IUCV	1.23, 12.3-10, 18.11, 27.14
JCL	14.29-30
JCL conversion	7.8-18
JES	2.3-5, 4.33-34, 5.37-41, 17.41,
	25.46-51, 26.24-32
JOB control 	 9.20-29
$JOBEXIT 	14.29
Job submission	24.6-11
Joining files	26.19-23
Jump table	31.8-11
KSDS	23.35
Labels	16.48
LIBDEF	13.4
Library setting	29.47-50
LINK	13.24-34, 14.7,
	24.35, 25.41-46, 26.37
LISTCAT	31.37-45
Listed items	27.45-51, 28.5-11
LISTFILE	18.31-32, 22.38
LOADLIB	27.10
LOADMAP	31.13, 32.36
LOCATE	34.16
LOCK	22.51
Lock file	5.14, 9.12, 19.49, 21.51
Locking	24.36-37
Logmsg	13.40, 14.18, 30.50
Log-on	1.13, 2.22, 6.16-19, 6.40-43
LPAR	22.42-43
LU 6.2	16.3
MACLIB	23.17-26, 27.10-11
Maint	13.36, 14.7, 14.10, 16.28,
	17.20, 21.29, 26.33, 35.3
Maintenance	27.3-10, 29.44-45, 30.3-12
Maps	29.17-23, 30.13
Match	14.27-28
MDF	22.42, 22.44
Menu	36.24-30
Message	13.40, 18.32-33, 23.26-27
MHPG	22.42-43
Mini-disks	1.4-7, 1.7-12, 1.33, 2.3,
	2.7-9, 2.16, 2.20-21, 3.9-10, 4.3, 4.15,
	5.19, 6.10, 6.32-37, 7.20, 7.33-35, 9.34,
	 9.36-40, 9.41-42, 11.17-22, 11.39-42,
	25.31, 25.41, 26.37, 27.3, 28.22-26
MINWS	18.51
Mode 0	33.49-51
Mode-search	12.47-48, 16.15-16
Monitor 	1.34-36, 1.43, 3.31-32, 12.32,
	12.39-43, 13.10-13, 14.39-44, 17.48-50,
	 21.49-50, 28.3-5, 33.3-16, 35.23-27
MOVEFILE	19.10
MSL	21.3-6, 31.22-30
MVS	1.22-24, 1.31, 2.3-5, 3.21-22,
	4.33, 7.8, 9.41-42, 12.3-10, 13.14,
	15.48-50, 17.41-44, 19.10, 25.24
National characters	29.3-9
NDM	16.4
NetView	16.4
NJE	19.10, 22.35-38
Nucleus	17.5
OMEGAMON	3.31-32, 10.19
Pack/unpack	2.40, 5.21-22
Page fault	17.6
Page frames	17.5
Page stealing	17.6
Page table	17.5
Paging	 2.38, 17.5-7
Parser	34.21-30
Pass-through	1.22, 4.42, 24.34
Password	1.19, 1.22, 2.5-6, 4.26-29,
	 5.23-28, 6.31, 7.33-35, 9.15,
	21.28-37, 24.12-14, 24.34
Paths	1.17-18, 8.3-5
PC	18.43-48
PDF	13.3-5
PDS	11.30-34, 14.45-50
Performance	3.21-22, 10.6-13,
	10.16-19, 12.32-38, 13.10, 17.5-7,
	17.48-50, 21.49-50, 24.3-6,
	 24.36-39, 25.31, 35.23-27
Personalised letters	20.49-51
PFkeys	2.30, 2.42, 3.39, 4.14, 6.10,
	6.31, 7.40-41, 8.18, 8.33,
	 12.11, 12.31, 22.42-44, 36.34
PL/I	21.9-11
POWER	1.30, 2.23-29,
	4.3-12, 5.9-12, 13.15, 14.29
Prefix macro	15.31
Printing	1.31-33, 4.3-12, 4.12-13,
	4.15-24, 4.33-34, 5.13, 9.8-11, 9.40,
	10.42, 11.23, 11.29, 12.11-15, 12.45,
	 21.38-43, 23.28-34, 32.27-30
Priority	17.6, 24.3, 36.8
PR/SM	22.42-44
Privilege	12.26-30, 27.36-41
Profile 	 2.22, 4.3, 4.14, 6.3, 6.16,
	8.3, 8.25-26, 10.42, 11.3, 11.23, 11.29,
	 11.39, 12.31, 13.37, 14.6, 14.10, 15.14,
	22.36, 22.45, 23.4, 27.15, 31.38, 35.50
PROP	1.21-29, 6.20-26, 11.22-29, 15.39
Protocol	8.32-36
PSB	25.17
PSW	16.17, 19.51
Purge	13.38
PVM	4.42, 20.14-22, 24.34
QDROP	16.51, 23.51, 28.5, 36.8
QUERY	26.40-43
QUICKDSP	36.8
Quotes	17.32-34
RDI	1.19-20
RDR	1.29-31, 4.3, 4.42-43, 5.9, 9.20,
	32.21-22, 36.20-21, 36.37-38
Recovery	1.7-12
Renaming files	20.42-44
RESERVE	16.51, 22.51, 23.51
Resource monitor	23.44-50, 24.15-26
Retrieve buffer	2.12-14, 9.43-48
REXX	13.6-9, 13.14-15, 13.35-36,
	14.3-6, 15.44-47, 16.4-6, 17.32, 22.5-7,
	23.26-27, 32.32-35, 36.22-24
REXX interpreter	21.26-28
RJE	25.24-30
Router	16.26, 21.22
RSCS	1.22, 2.3, 4.12-13, 4.15
	5.13, 5.37, 9.9, 10.16, 11.44-45,
	15.42, 16.4, 17.20, 19.46-48, 20.27-35,
	21.11-19, 22.36-38, 25.36-41, 25.46-49,
	26.24-32, 35.40, 36.7
RTABLE	23.51
Runnable queue	17.6
Saved Segment Area	20.46-49, 31.6-22
Saved system	31.35
Saving points	27.24
SAY	15.3, 19.7
Scan	18.39-41, 31.31-34, 34.31-38
Scheduler	34.14
Secondary operator	18.41-42
Secondary user authority	15.25-31,
	32.22-26
Secondary user-id	20.37-38
Security	1.19, 2.5-6, 3.39-41, 3.43,
	4.26-29, 4.32, 5.23-28, 7.33-35,
	8.25-26, 9.15, 11.15-16, 11.39-42,
	11.50, 14.10-12, 17.16-20, 21.28-37,
	23.36-41, 24.12-14, 24.33-35
Seek analysis	3.9-16
Segment table	17.5
Selcopy	21.46-48, 24.46-47
Self-relocating modules	28.27-29
Serviceability Enhancement Support II
	29.44-45
Service machine	23.5-7, 23.35, 35.40-47
SES-II	29.44-45
SET	13.40, 13.51, 16.51, 27.51
SFS	16.3, 23.35-36
SHARE	36.8
Shared File System	16.3, 23.35-36
Shared segment	32.36-38
Shut-down	5.28-34, 31.35-37
SIE	22.43
Single console image	35.27-38
SIO	29.46
SMART	1.24, 10.18, 12.32-33, 13.10
SNA	16.3
Sort	7.3, 19.29-31, 19.37-40
Source control	2.39-43, 3.39-41, 5.21-22,
	6.37-40, 9.41-43, 11.39-42,  15.13-18,
	 15.42-44, 20.42-44, 22.47-50, 29.23-37
Space management	30.27-29
SPM	28.37-51
SPOOL	1.29-31, 1.36, 3.3-4, 3.33-37,
	4.33-34, 4.42-43, 5.37-41, 9.20,
	9.31-34, 10.29-31, 12.11, 13.37-39,
	14.10-12, 16.4, 17.45-47, 27.28-30,
	32.40-51, 33.17-21, 33.47-49, 36.36-45
SQL	1.26,  7.36-39, 18.3-18, 20.36,
	21.4-6, 24.36-39, 25.11-12, 25.13-14,
	30.13-14, 31.23, 34.21
SRM	13.51, 23.51, 27.51
Start-up	2.30-38, 3.5-8, 8.3-5, 10.41-42
Status area	10.37-38
Storage	8.18-25, 10.6-13
Sum of columns	25.14-15
Sum of rows	25.14-16
SVA	12.39
Swap	34.45-49
Swap datasets	17.7
SYBACK	1.3-7
Synonyms	36.30-33
Sysgen	29.38-39
SYSIPT	25.6-16, 27.25-27
SYSLST	14.15
SYSPAG	17.7
SYSPCH	25.6-16, 27.25-27
SYSOWN	33.35-36
Tag	1.32, 16.4, 22.36, 23.4
Tape	1.3-7, 1.19, 3.23-30,
	7.29, 9.29-30, 12.46, 24.26-33,
	26.3-7, 29.10-16, 35.48-49
TDSK	29.23, 33.35-36
Telex	21.38-43
TEMP space	1.36, 2.38, 3.3, 8.7-10,
	8.37-42, 9.4-8, 9.31-34, 14.10,
	25.7, 30.13, 33.47
Term-id	3.41-43, 8.44, 9.8-11, 11.48-50
Terminals	1.13, 8.32-34,
	8.43-44, 8.44-49, 11.50
Testing EXEC	28.35-36
Timeslice	34.14-15
Trace	3.17-18, 3.31, 14.3
Trace tables	17.5
Track calculation	2.8, 5.15-19
Translate table	19.32-37
TSAF	16.3
TSO	15.48, 18.18-22
TUBES	2.30, 7.25, 12.48
Tuning	24.36-39
TXTLIB	27.10, 31.6-13
&TYPE	15.3
Unused virtual address	7.18-19
UPDATE	22.46-50
User-id	1.31, 1.34-35, 3.39,
	5.37, 5.43, 6.32, 10.37, 11.39, 12.26-30,
	13.24, 14.7, 14.15, 15.13, 15.25, 24.12
User list	6.40-43, 10.39-41, 12.48,
	33.36-39
USSTAB	15.48, 21.19
Utilities	15.3-13
Variables	10.27-28, 11.30-34,
	19.7-10, 28.51
VCNA	1.13, 1.22, 21.39
Virtual address	29.39-43, 34.50-51
VMBACKUP	1.3-7
VMBLOK	1.12-16, 4.34-35,
	8.43-44, 9.48-51, 12.26, 14.13, 15.26,
	18.41, 24.35, 25.41, 26.47, 30.29, 31.3,
	 32.3-7, 34.16-20, 35.27-28, 36.17-20
VMCENTER	15.39
VMCF	17.34-40, 22.28, 23.35
VMCICS	16.3
VM/DSNX	16.4
VMGroup	12.3-10
VM/HPO	36.3
VM MAGIC	2.7-9, 10.50-51
VMMAP	1.43, 3.9, 5.42, 10.17
VMRTM	10.16-19, 12.32
VMSECUSR	15.26
VMTAPE	15.39
VMUTIL	13.38, 35.40
VM/XA SP	29.44-45, 36.3-8
VOLLIE	7.20-24
VSAM	2.9-10, 3.9, 4.36-41, 9.3,
	12.8, 18.43-48, 19.41-43, 20.3-14,
	20.36, 23.35, 26.8, 31.37-45
VSCS	33.36
VSE(DOS)	1.17, 1.29-31, 2.9, 2.23,
	3.9-10, 4.3, 5.14, 7.8, 7.20, 7.25-29, 8.6,
	9.12-14, 9.41-42, 10.6, 10.16, 11.43-44,
	16.3, 18.43-48, 21.21-26, 24.6, 26.8,
	31.45-51, 32.8-21, 32.27.30, 33.23-35
VTAM	3.19-20, 8.5-7, 9.8-11, 12.3-10, 		13.36-37, 15.48-50, 20.14-15,
	20.37-42, 21.19-21, 22.35, 23.51,
	24.3, 33.36, 35.50-51
VTAMLST	13.36
VTOC	9.16-19
Wakeup	1.16-17, 1.22, 1.43, 2.41,
	5.28, 6.16, 8.9, 8.49, 29.23, 31.38
Warn	13.40, 24.3
Windows	19.43-45
Working set	17.6
XEDIT	2.14-15, 2.16-19, 2.20-21, 4.14
	4.24-25, 4.30-31, 5.34-37, 6.3-5, 6.6-8,
	6.9-13, 6.14-15, 6.29-32, 6.37-40,
	 7.39-43, 10.14-15, 10.33-37, 12.30-31, 		12.43-45, 13.9, 13.40, 13.44-48,
14.39,
	15.13-14, 17.20, 17.22, 17.45, 18.31,
	19.37, 19.43, 22.38-39, 22.47-49,
	23.26-27, 24.40, 27.24, 27.30-36, 28.35,
	32.38-40, 35.39, 36.34-36
XMENU	28.20-21

